Word,Coded by Gentle,Picked up by Gentle,Onset Time ,Offset Time,,Word,Coded by Gentle,Picked up by Gentle,Onset Time ,Offset Time
are,are,are,146.52,146.58,,Cagle's,Cagle's,<unk>,148.75,149.09
going,going,going,146.58,146.87,,map,map,map,149.13,149.35
to,to,to,146.88,146.99,,turtle,turtle,turtle,149.35,149.75
talk,talk,talk,146.99,147.28,,could,could,could,149.84,150.02
about,about,about,147.29,147.59,,easily,easily,easily,150.04,150.42
good,good,good,147.6,147.88,,sell,sell,sell,150.42,150.69
punctuation.,punctuation,punctuation,147.93,148.76,,for,for,for,150.69,150.93
Caleb,Caleb,caleb,149.45,149.81,,more,more,more,150.93,151.16
poked,poked,poked,149.81,150.16,,than,than,than,151.16,151.48
Tully's,Tully's,<unk>,150.16,150.5,,two,two,two,151.51,151.71
arm.,arm,arm,150.51,150.82,,hundred,hundred,hundred,151.71,151.91
